RegionID,RegionName,City,State,Metro,CountyName,2015-01,2016-01,2016-02,B01001_011E,B01001_035E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03001_003E,B19013_001E,B19113_001E,B25001_001E,B25002_002E,B25003_002E,B25075_023E,B25075_024E,B25075_025E,B25002_003E,B25077_001E,B25064_001E
72575.0,33408,North Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,179.0,203.0,203.0,327,356,16890,133,14,116,0,85,191,801,56301,85799,12724,8951,6480,605,338,547,3773,249100,1150
58785.0,02481,Wellesley,MA,Boston,Norfolk,472.0,479.0,477.0,158,76,13659,289,0,1747,11,150,464,671,177083,203625,4985,4740,4146,740,1030,1992,245,980300,1848
70883.0,30106,Austell,GA,Atlanta,Cobb,74.0,78.0,78.0,772,649,7809,9983,0,374,0,489,394,1953,44120,52788,8790,7625,4427,34,0,0,1165,120400,896
77998.0,46158,Mooresville,IN,Indianapolis,Morgan,88.0,94.0,93.0,607,696,21831,72,13,194,0,51,87,385,58539,67838,9277,8456,6595,66,0,18,821,146900,756
76767.0,43608,Toledo,OH,Toledo,Lucas,28.0,30.0,30.0,792,447,5130,8393,27,93,4,771,1003,1693,25999,28972,7288,5265,3233,0,0,4,2023,48100,712
88493.0,70130,New Orleans,LA,New Orleans,Orleans,291.0,335.0,338.0,1073,1392,10255,3046,30,370,0,226,344,1515,54023,81302,10851,7905,2237,323,112,160,2946,337800,1083
97064.0,92866,Orange,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange,383.0,430.0,438.0,801,743,10636,149,60,558,0,3597,473,6787,62589,71496,5897,5618,2037,989,210,31,279,553500,1361
72452.0,33149,Key Biscayne,FL,Miami-Fort Lauderdale,Miami-Dade,648.0,729.0,725.0,229,268,12121,45,27,439,0,62,80,7426,121023,131429,7242,4287,3213,586,498,1424,2955,908400,2001
92419.0,78374,Portland,TX,Corpus Christi,San Patricio,91.0,95.0,95.0,643,782,15479,416,81,229,0,376,349,6524,67975,74848,6164,5676,3609,122,0,0,488,140100,1062
72309.0,32931,Cocoa Beach,FL,Melbourne,Brevard,162.0,181.0,182.0,254,276,13431,99,38,70,42,46,171,272,50763,67625,10748,6993,4393,279,136,31,3755,242200,1024
